NumElementi,Selection,Sostituzione,Bubble,Insertion,Merge,Quick
1000,7,14,13,6,1,0
1010,1,7,11,11,0,1
1020,1,10,11,3,0,0
1030,1,16,16,4,0,1
1040,1,11,8,1,0,0
1050,2,5,6,1,0,0
1060,1,6,6,1,0,0
1070,1,5,6,1,0,0
1080,1,7,6,1,0,0
1090,1,6,7,1,0,0
1100,2,6,6,1,0,1
1110,1,7,7,0,0,0
1120,1,8,7,1,1,0
1130,1,8,7,0,0,1
1140,2,7,9,11,0,0
1150,6,10,9,1,0,0
1160,3,7,8,2,0,0
1170,1,7,8,1,0,0
1180,1,10,8,1,0,0
1190,2,8,8,1,0,0
1200,2,8,9,1,1,0
1210,2,9,9,1,0,0
1220,2,8,10,1,0,0
1230,2,9,10,1,1,0
1240,3,9,11,2,0,0
1250,2,11,17,1,0,0
1260,2,15,12,1,0,0
1270,2,11,9,1,1,0
1280,2,18,11,4,1,0
1290,2,10,10,1,0,1
1300,2,10,13,2,1,0
1310,2,10,10,1,0,0
1320,3,9,9,1,0,1
1330,2,10,9,2,0,0
1340,2,10,12,2,0,0
1350,2,9,10,1,0,1
1360,3,11,11,2,0,0
1370,2,11,10,2,1,0
1380,2,9,11,1,1,0
1390,2,11,11,2,0,0
1400,2,10,12,2,0,0
1410,4,10,12,2,0,0
1420,2,11,12,1,0,0
1430,2,13,12,1,2,0
1440,2,14,14,2,0,1
1450,6,25,19,2,4,0
1460,3,81,32,1,1,0
1470,2,12,13,2,0,0
1480,12,22,19,3,1,0
1490,3,16,30,7,0,10
1500,3,13,11,3,0,0
1510,3,11,13,2,0,0
1520,3,12,13,1,0,1
1530,3,17,16,2,0,0
1540,2,16,14,2,0,0
1550,3,12,14,2,0,0
1560,3,14,15,2,0,0
1570,3,13,15,1,1,0
1580,2,14,16,2,1,0
1590,2,18,15,2,1,0
1600,3,17,16,2,0,0
1610,3,15,16,2,1,0
1620,3,14,15,1,1,0
1630,3,14,15,2,1,0
1640,3,14,16,2,0,0
1650,3,15,15,2,1,0
1660,3,15,15,3,0,1
1670,4,16,17,2,0,1
1680,2,20,20,3,0,0
1690,4,15,17,2,0,0
1700,3,17,18,2,0,1
1710,3,16,16,2,1,0
1720,3,16,17,3,0,0
1730,3,16,17,2,0,1
1740,5,17,19,2,0,1
1750,4,16,18,2,0,0
1760,27,25,34,2,0,0
1770,4,18,19,3,0,1
1780,3,21,17,3,0,0
1790,4,19,20,3,0,0
1800,4,17,18,2,0,1
1810,3,19,20,3,0,1
1820,3,19,18,2,0,1
1830,4,22,20,3,0,1
1840,4,19,20,2,1,0
1850,3,22,21,3,0,1
1860,3,18,19,3,0,0
1870,4,21,24,7,0,1
1880,4,21,21,2,1,0
1890,4,22,21,4,0,0
1900,4,19,21,2,0,1
1910,4,22,21,3,1,0
1920,4,20,24,2,1,0
1930,4,22,24,3,1,0
1940,4,19,27,3,0,1
1950,5,24,28,4,0,0
1960,4,24,23,3,0,0
1970,5,25,24,4,0,1
1980,4,22,23,2,1,0
1990,4,22,23,3,0,1
2000,5,23,24,3,2,0
2010,4,23,23,3,0,0
2020,5,24,24,4,0,0
2030,5,22,24,3,0,1
2040,5,25,27,3,1,0
2050,4,24,28,3,1,0
2060,5,26,26,3,0,0
2070,6,23,23,3,0,1
2080,4,29,29,4,1,0
2090,5,25,25,3,0,0
2100,5,28,31,3,1,0
2110,5,26,27,4,0,1
2120,5,26,26,3,1,0
2130,5,28,26,3,1,0
2140,5,26,29,3,0,1
2150,4,30,28,4,1,0
2160,5,31,27,3,1,0
2170,5,29,35,5,0,1
2180,5,30,30,4,1,0
2190,5,28,28,4,0,0
2200,6,31,31,4,1,0
2210,5,34,29,4,0,0
2220,6,31,33,5,1,0
2230,5,31,33,5,1,0
2240,5,28,30,4,0,1
2250,5,31,31,5,0,1
2260,6,30,29,5,0,1
2270,5,32,31,5,1,0
2280,6,31,31,4,0,1
2290,6,29,30,4,0,1
2300,6,32,33,5,0,1
2310,5,33,31,4,0,1
2320,5,34,31,5,0,1
2330,6,34,31,5,0,1
2340,5,32,36,4,1,0
2350,6,40,37,5,1,0
2360,6,36,36,4,1,0
2370,6,35,33,4,0,0
2380,6,37,35,4,1,0
2390,6,33,33,4,1,0
2400,6,34,34,4,0,0
2410,6,37,35,5,1,0
2420,6,35,34,4,1,0
2430,6,38,34,5,0,1
2440,6,37,37,5,0,0
2450,6,36,36,7,1,0
2460,6,39,41,5,1,0
2470,7,38,38,5,0,1
2480,6,37,40,5,0,0
2490,7,40,42,6,0,1
