NumElementi,Selection,Sostituzione,Bubble,Insertion,Merge,Quick
1000,6,13,12,5,1,0
1010,12,6,10,9,1,0
1020,3,14,6,0,1,0
1030,12,5,5,0,0,0
1040,1,6,5,1,0,1
1050,1,5,5,1,0,0
1060,0,5,5,1,0,0
1070,0,6,5,1,0,0
1080,1,6,6,1,0,0
1090,1,5,6,1,0,0
1100,3,6,7,1,0,0
1110,0,7,7,1,0,0
1120,1,6,13,0,0,0
1130,1,6,6,1,1,0
1140,0,6,10,1,0,0
1150,1,8,8,1,0,0
1160,0,9,6,1,0,0
1170,0,7,7,1,0,0
1180,1,8,7,2,0,1
1190,1,7,7,1,0,0
1200,1,7,7,1,0,1
1210,1,8,7,1,1,0
1220,2,14,9,4,0,0
1230,1,10,7,0,0,0
1240,1,10,7,1,1,0
1250,1,7,7,2,1,0
1260,1,8,8,1,0,0
1270,1,9,9,1,1,0
1280,1,9,8,0,1,0
1290,1,9,8,1,1,0
1300,1,11,10,1,0,1
1310,2,10,8,1,0,0
1320,1,9,8,1,0,0
1330,2,10,10,1,1,0
1340,1,8,8,1,0,1
1350,1,9,8,1,0,1
1360,1,9,9,1,0,1
1370,1,9,9,1,0,1
1380,2,10,10,1,0,1
1390,1,9,9,1,0,0
1400,1,10,9,1,0,0
1410,1,11,11,2,0,0
1420,1,9,10,1,0,0
1430,1,11,10,1,1,0
1440,1,11,10,1,1,0
1450,1,12,13,1,1,0
1460,1,12,11,1,1,0
1470,1,10,11,1,0,0
1480,2,11,11,2,1,0
1490,2,12,13,3,0,0
1500,1,12,11,1,1,0
1510,1,13,12,1,0,0
1520,2,11,12,1,0,0
1530,2,12,11,24,0,0
1540,2,15,21,2,0,0
1550,2,11,11,2,0,0
1560,2,13,13,2,0,0
1570,2,13,12,1,1,0
1580,2,12,12,1,0,1
1590,1,14,12,2,0,0
1600,1,13,12,1,1,0
1610,2,15,14,1,0,0
1620,2,13,13,1,0,0
1630,1,15,13,1,1,0
1640,2,14,13,1,1,0
1650,1,14,16,1,1,0
1660,2,14,14,1,1,0
1670,2,14,14,1,0,0
1680,1,17,15,2,0,1
1690,2,13,15,1,0,1
1700,2,26,23,3,0,1
1710,1,21,16,1,1,0
1720,2,16,18,2,0,1
1730,2,15,17,2,0,1
1740,2,15,16,1,1,0
1750,2,16,15,1,0,1
1760,2,16,16,2,1,0
1770,2,15,16,1,1,0
1780,3,17,15,2,0,0
1790,2,17,17,2,0,0
1800,2,16,18,2,0,1
1810,2,19,18,2,0,0
1820,2,17,16,1,1,0
1830,2,20,19,2,1,0
1840,2,18,18,1,1,0
1850,3,22,19,2,1,0
1860,3,19,22,1,1,0
1870,2,21,20,2,1,0
1880,2,19,19,2,0,0
1890,2,25,21,4,1,0
1900,3,24,18,2,1,0
1910,2,26,26,2,0,1
1920,2,22,19,1,1,0
1930,2,23,20,3,0,0
1940,3,20,19,2,0,0
1950,3,21,20,2,1,0
1960,2,20,19,2,0,0
1970,3,21,20,2,0,0
1980,3,20,20,2,0,1
1990,3,20,27,2,1,0
2000,2,24,22,2,1,0
2010,3,21,21,2,0,0
2020,3,23,22,2,1,0
2030,3,21,21,2,0,0
2040,3,25,22,2,1,0
2050,3,21,21,2,1,0
2060,3,24,23,3,1,0
2070,3,22,22,2,0,0
2080,3,24,23,3,0,1
2090,3,23,21,2,1,0
2100,3,24,21,2,1,0
2110,3,25,22,3,1,0
2120,3,23,23,2,0,1
2130,3,26,26,2,1,0
2140,3,26,33,2,0,1
2150,2,30,26,3,1,0
2160,3,25,24,2,0,1
2170,3,24,25,2,0,1
2180,3,26,28,3,0,1
2190,3,27,25,2,0,1
2200,3,32,28,3,1,0
2210,3,27,23,2,0,1
2220,3,30,29,4,0,0
2230,4,29,28,2,1,0
2240,3,28,26,2,0,1
2250,3,29,27,3,1,0
2260,4,27,29,2,0,1
2270,3,28,27,3,0,1
2280,3,30,27,3,1,0
2290,4,30,33,3,0,1
2300,4,34,30,3,1,0
2310,3,29,27,2,1,0
2320,3,31,27,2,0,1
2330,3,34,32,3,1,0
2340,4,30,30,3,0,1
2350,3,34,31,3,1,0
2360,4,36,33,3,1,0
2370,4,30,30,2,1,0
2380,4,35,31,3,1,0
2390,4,31,29,3,0,1
2400,3,34,29,3,0,1
2410,3,35,31,4,0,1
2420,3,31,30,3,0,1
2430,4,67,39,3,0,1
2440,3,37,34,3,1,0
2450,4,35,33,3,0,1
2460,4,35,31,3,1,0
2470,4,47,36,4,1,0
2480,4,34,34,2,1,0
2490,4,37,42,4,0,1
