NumElementi,Selection,Sostituzione,Bubble,Insertion,Merge,Quick
1000,8,14,12,6,1,0
1010,2,12,12,1,1,0
1020,4,13,13,2,0,1
1030,12,6,9,2,0,0
1040,3,10,6,2,0,0
1050,3,6,8,1,1,0
1060,3,7,8,1,0,0
1070,2,8,6,2,0,0
1080,3,8,7,2,0,1
1090,2,7,8,1,0,0
1100,3,7,8,2,0,0
1110,2,9,7,1,0,0
1120,3,8,9,37,1,0
1130,2,13,17,1,0,0
1140,3,8,9,2,0,0
1150,3,9,7,2,0,0
1160,2,9,9,2,1,0
1170,2,11,10,2,0,0
1180,3,10,9,2,0,0
1190,12,10,12,4,1,0
1200,3,15,11,4,0,0
1210,3,11,9,2,0,1
1220,3,8,11,2,0,1
1230,3,11,11,2,0,0
1240,3,10,10,2,1,1
1250,3,10,10,2,0,0
1260,3,10,10,2,1,0
1270,3,11,13,3,1,0
1280,7,11,9,2,1,0
1290,4,10,13,1,1,0
1300,4,10,11,2,0,0
1310,3,12,11,3,0,0
1320,3,12,10,3,0,1
1330,4,12,10,2,1,0
1340,4,11,11,2,0,0
1350,4,10,12,2,0,1
1360,4,13,13,2,0,1
1370,4,12,12,3,0,0
1380,4,12,12,3,0,0
1390,4,12,13,2,0,1
1400,4,13,13,3,0,0
1410,4,14,12,2,1,0
1420,4,12,13,3,0,0
1430,6,14,12,3,0,0
1440,4,13,13,3,0,0
1450,4,15,14,3,0,1
1460,6,13,14,3,0,0
1470,6,15,14,3,0,0
1480,5,14,15,3,0,0
1490,4,15,14,3,1,0
1500,6,16,15,3,1,0
1510,6,20,19,3,0,0
1520,5,15,16,2,1,0
1530,5,15,14,3,0,1
1540,5,17,16,4,0,1
1550,6,16,15,3,1,0
1560,6,16,15,3,0,1
1570,6,15,16,4,0,0
1580,6,16,18,3,1,0
1590,6,17,15,3,1,0
1600,5,17,16,3,0,1
1610,6,17,17,3,1,0
1620,7,16,17,3,1,0
1630,6,17,17,3,1,0
1640,6,18,17,3,0,1
1650,6,18,16,3,1,0
1660,7,18,18,3,1,0
1670,7,18,19,3,0,1
1680,7,19,18,4,0,0
1690,7,18,19,3,0,1
1700,7,20,19,4,1,0
1710,7,19,21,4,0,0
1720,7,19,19,4,0,0
1730,7,19,19,4,0,1
1740,8,20,21,7,1,0
1750,8,19,21,4,0,1
1760,8,21,20,3,1,0
1770,8,19,20,3,1,0
1780,8,23,23,5,0,1
1790,7,27,22,5,0,1
1800,8,23,21,4,1,0
1810,8,22,22,5,0,1
1820,8,22,22,4,1,0
1830,8,22,24,5,0,1
1840,8,24,23,3,0,0
1850,8,25,25,5,0,1
1860,9,22,24,4,0,0
1870,9,23,23,4,1,0
1880,8,25,23,4,1,0
1890,9,26,26,5,1,0
1900,9,24,24,4,0,1
1910,10,24,24,4,0,1
1920,10,25,25,5,0,0
1930,9,24,24,4,0,1
1940,8,27,26,5,0,1
1950,9,26,25,4,1,0
1960,10,24,23,5,0,1
1970,11,24,25,4,1,0
1980,10,25,25,4,1,0
1990,10,26,24,4,1,0
2000,10,27,25,5,0,1
2010,10,29,27,5,1,0
2020,10,26,26,5,1,0
2030,10,28,26,5,0,1
2040,10,28,27,6,0,1
2050,11,27,26,4,0,1
2060,10,28,27,5,0,1
2070,11,29,29,5,1,0
2080,10,29,27,5,0,1
2090,9,29,28,5,1,0
2100,11,30,28,6,1,0
2110,11,30,29,5,1,0
2120,11,31,29,5,0,1
2130,11,29,29,6,0,1
2140,10,31,29,5,0,0
2150,11,30,30,8,1,0
2160,12,29,31,5,1,0
2170,11,32,30,6,1,0
2180,12,31,30,6,0,1
2190,12,33,31,5,1,0
2200,12,34,31,7,0,0
2210,12,32,31,6,0,1
2220,12,32,31,6,1,0
2230,12,35,32,7,0,1
2240,12,34,33,6,1,1
2250,13,63,48,6,0,0
2260,13,33,33,7,0,1
2270,12,36,38,6,0,1
2280,12,43,39,7,0,0
2290,15,35,35,6,1,0
2300,14,35,38,8,1,0
2310,21,41,36,8,0,1
2320,14,36,36,7,0,1
2330,13,35,34,6,0,1
2340,15,39,38,7,1,1
2350,17,38,35,7,1,0
2360,15,41,44,7,1,0
2370,18,44,39,9,1,0
2380,15,39,37,8,0,1
2390,15,38,36,7,1,0
2400,15,45,39,9,1,0
2410,15,40,37,7,1,0
2420,15,39,38,7,0,0
2430,16,38,47,7,1,0
2440,16,40,38,7,1,0
2450,15,42,42,8,0,0
2460,15,41,39,8,0,1
2470,19,42,46,7,1,1
2480,16,47,42,10,1,0
2490,16,42,39,8,0,1
